geoid,name,B25070001,"B25070001, Error",B25070002,"B25070002, Error",B25070003,"B25070003, Error",B25070004,"B25070004, Error",B25070005,"B25070005, Error",B25070006,"B25070006, Error",B25070007,"B25070007, Error",B25070008,"B25070008, Error",B25070009,"B25070009, Error",B25070010,"B25070010, Error",B25070011,"B25070011, Error"
86000US10030,"10030",11306,889,660,307,631,319,765,239,725,413,1003,291,1108,347,845,344,899,357,4110,638,560,259
86000US10031,"10031",19316,1007,1060,324,1810,422,2153,403,2031,401,1653,375,1188,278,1119,289,1486,455,5780,791,1036,370
86000US10032,"10032",19748,988,1230,350,1200,323,1676,415,1578,368,2309,520,2265,662,1543,463,1828,556,5464,755,655,247
86000US10033,"10033",16811,833,618,224,1538,454,1894,464,1906,463,1473,350,1466,390,891,344,1500,499,4751,642,774,312
86000US10034,"10034",13527,710,744,266,1751,464,1381,337,1429,358,867,284,1318,335,633,200,1229,344,3612,470,563,267
86000US10035,"10035",13939,830,758,284,787,247,1256,394,1753,360,1518,376,1335,346,847,317,984,274,3992,638,709,272
86000US10036,"10036",17003,1425,889,315,1597,427,1698,431,2037,485,2242,526,1694,551,1058,388,1701,426,3765,772,322,226
86000US10037,"10037",9014,677,809,259,581,186,715,244,705,213,720,232,823,277,575,258,759,229,2550,470,777,365
86000US10038,"10038",6951,820,369,206,708,267,934,324,662,219,759,274,645,235,381,167,551,194,1501,418,441,517
86000US10039,"10039",11195,839,857,336,719,301,1176,349,1434,469,674,275,1169,426,934,435,1048,460,2826,579,358,267
86000US10040,"10040",13347,831,501,210,1109,333,1235,347,1598,368,1435,391,901,261,528,196,1032,332,4337,691,671,303
86000US10044,"10044",4199,419,221,190,341,160,464,186,381,172,385,149,325,125,188,126,497,165,1319,350,78,60
86000US10065,"10065",10336,880,1235,471,1193,354,1276,418,857,320,928,316,994,337,377,189,728,264,2355,574,393,249
86000US10069,"10069",2100,512,198,152,219,135,224,221,336,249,62,83,53,51,113,134,208,154,370,197,317,339
86000US10075,"10075",6328,845,532,295,481,188,766,273,806,392,455,204,588,255,502,271,489,223,1241,503,468,397
86000US10103,"10103",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US10110,"10110",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US10111,"10111",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
