geoid,name,B25070001,"B25070001, Error",B25070002,"B25070002, Error",B25070003,"B25070003, Error",B25070004,"B25070004, Error",B25070005,"B25070005, Error",B25070006,"B25070006, Error",B25070007,"B25070007, Error",B25070008,"B25070008, Error",B25070009,"B25070009, Error",B25070010,"B25070010, Error",B25070011,"B25070011, Error"
86000US11413,"11413",3693,471,237,116,485,222,415,176,219,98,345,130,282,139,327,161,246,137,941,217,196,91
86000US11414,"11414",3056,421,106,85,157,135,478,201,146,119,297,165,215,129,205,163,181,149,985,307,286,236
86000US11415,"11415",5043,480,190,76,354,144,495,173,662,209,541,197,468,153,332,161,250,107,1615,324,136,93
86000US11416,"11416",3864,381,80,58,316,132,200,101,372,172,490,181,414,139,226,104,307,143,1313,246,146,69
86000US11417,"11417",3968,396,183,92,474,152,325,127,517,241,273,140,205,93,284,150,278,113,1206,312,223,104
86000US11418,"11418",6031,626,314,109,464,162,519,201,686,267,660,204,344,135,409,151,414,162,1757,347,464,229
86000US11419,"11419",5084,605,289,159,410,143,348,125,456,145,373,126,457,162,494,340,399,171,1646,353,212,92
86000US11420,"11420",3909,458,145,81,242,110,560,179,445,193,242,110,472,261,199,118,215,99,1158,285,231,97
86000US11421,"11421",5474,568,192,115,491,185,580,229,422,153,560,242,338,155,244,127,498,285,1540,241,609,286
86000US11422,"11422",3330,502,170,134,193,129,269,128,488,217,365,244,256,143,360,204,276,165,867,325,86,68
86000US11423,"11423",4262,532,224,123,256,125,301,136,348,135,403,188,386,114,241,115,329,160,1385,358,389,263
86000US11424,"11424",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US11426,"11426",1905,405,26,44,189,117,364,280,200,111,91,52,177,130,90,73,371,195,334,176,63,54
86000US11427,"11427",3076,358,86,70,193,104,325,149,436,207,433,175,361,155,83,66,309,148,811,219,39,32
86000US11428,"11428",1580,269,29,24,48,36,160,91,64,72,150,88,52,51,83,64,168,106,720,250,106,70
86000US11429,"11429",2220,452,72,63,131,95,191,123,146,91,318,147,134,84,44,53,426,389,567,205,191,91
86000US11430,"11430",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US11432,"11432",13346,1076,491,196,1028,484,1161,274,1508,443,1318,310,954,268,784,243,1133,313,4385,659,584,169
86000US11433,"11433",5898,471,278,182,517,221,420,156,603,243,370,184,723,262,376,163,711,195,1701,357,199,122
86000US11434,"11434",11999,867,906,305,1065,266,1473,362,1338,375,892,278,1110,389,536,177,910,271,3168,666,601,219
86000US11435,"11435",12853,945,475,178,1144,311,1079,237,1198,297,1479,357,1516,362,942,298,1071,345,3361,510,588,209
86000US11436,"11436",2294,274,102,62,154,79,167,80,272,112,136,80,140,80,98,51,160,89,912,198,153,95
86000US11439,"11439",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US11451,"11451",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US11509,"11509",93,41,0,14,5,7,3,5,12,14,23,20,0,14,8,12,4,6,31,22,7,8
86000US11559,"11559",629,242,0,19,52,60,159,123,41,42,59,66,30,47,0,19,37,42,205,133,46,48
86000US11580,"11580",2204,512,0,29,151,107,358,395,225,128,93,81,281,199,207,155,122,90,644,235,123,79
86000US11581,"11581",1181,351,26,28,84,95,42,42,384,257,45,42,108,94,18,29,69,74,346,219,59,51
86000US11691,"11691",16665,865,1049,456,1126,290,915,258,1993,502,1893,468,1332,452,1320,324,1426,461,4702,699,909,285
86000US11692,"11692",5400,505,342,145,471,196,405,125,408,184,251,142,426,206,560,205,412,160,1734,379,391,247
86000US11693,"11693",2847,418,112,83,238,112,240,127,301,117,375,206,220,114,87,95,171,107,907,303,196,132
86000US11694,"11694",3963,414,310,175,263,124,685,274,572,191,284,144,332,161,276,165,127,101,816,246,298,143
86000US11697,"11697",15,17,0,14,0,14,5,7,0,14,0,14,0,14,0,14,0,14,10,15,0,14
