geoid,name,B25064001,"B25064001, Error"
86000US11369,"11369",1924,74
86000US11370,"11370",2003,116
86000US11371,"11371",-666666700,
86000US11372,"11372",1820,74
86000US11373,"11373",1937,47
86000US11374,"11374",1958,67
86000US11375,"11375",2175,42
86000US11377,"11377",1804,62
86000US11378,"11378",1993,84
86000US11379,"11379",2040,78
86000US11385,"11385",2004,56
86000US11411,"11411",1723,216
86000US11412,"11412",1680,86
86000US11413,"11413",2098,113
86000US11414,"11414",2113,86
86000US11415,"11415",2002,82
86000US11416,"11416",2009,102
86000US11417,"11417",1868,88
86000US11418,"11418",1800,79
86000US11419,"11419",1946,91
86000US11420,"11420",2064,116
86000US11421,"11421",1978,99
86000US11422,"11422",2510,154
86000US11423,"11423",1788,100
86000US11424,"11424",-666666700,
86000US11426,"11426",1997,223
86000US11427,"11427",1748,92
86000US11428,"11428",1947,142
86000US11429,"11429",1649,154
86000US11430,"11430",-666666700,
86000US11432,"11432",1872,56
86000US11433,"11433",1609,98
86000US11434,"11434",1469,81
86000US11435,"11435",1842,51
86000US11436,"11436",2171,145
86000US11439,"11439",-666666700,
86000US11451,"11451",-666666700,
86000US11509,"11509",3501,
86000US11559,"11559",1926,183
86000US11580,"11580",1996,290
86000US11581,"11581",2292,424
86000US11691,"11691",1425,89
86000US11692,"11692",1161,142
86000US11693,"11693",1216,173
86000US11694,"11694",1757,86
86000US11697,"11697",-666666700,
