geoid,name,B25001001,"B25001001, Error"
86000US11366,"11366",4977,505
86000US11367,"11367",15305,604
86000US11368,"11368",31358,970
86000US11369,"11369",13878,671
86000US11370,"11370",11718,607
86000US11371,"11371",0,14
86000US11372,"11372",26335,987
86000US11373,"11373",34996,1101
86000US11374,"11374",21152,902
86000US11375,"11375",35673,984
86000US11377,"11377",35254,1168
86000US11378,"11378",14492,665
86000US11379,"11379",15415,609
86000US11385,"11385",40186,1110
86000US11411,"11411",6852,375
86000US11412,"11412",12958,490
86000US11413,"11413",14755,600
86000US11414,"11414",12154,701
86000US11415,"11415",9811,461
86000US11416,"11416",8026,459
86000US11417,"11417",9943,480
86000US11418,"11418",12005,637
86000US11419,"11419",14053,732
86000US11420,"11420",14704,581
86000US11421,"11421",12848,643
86000US11422,"11422",10711,545
86000US11423,"11423",10201,661
86000US11424,"11424",0,14
86000US11426,"11426",6734,418
86000US11427,"11427",8540,490
86000US11428,"11428",6187,513
86000US11429,"11429",8532,577
86000US11430,"11430",0,14
86000US11432,"11432",22157,1104
86000US11433,"11433",12261,496
86000US11434,"11434",23845,794
86000US11435,"11435",21405,833
86000US11436,"11436",6843,356
86000US11439,"11439",0,14
86000US11451,"11451",0,14
86000US11509,"11509",1172,133
86000US11559,"11559",2871,437
86000US11580,"11580",13468,665
86000US11581,"11581",7363,441
86000US11691,"11691",24072,924
86000US11692,"11692",8415,488
86000US11693,"11693",5922,566
86000US11694,"11694",9078,391
86000US11697,"11697",2873,252
