geoid,name,B01003001,"B01003001, Error"
86000US11360,"11360",19469,2067
86000US11361,"11361",30127,1718
86000US11362,"11362",18492,1349
86000US11363,"11363",7223,884
86000US11364,"11364",35276,2359
86000US11365,"11365",42322,2803
86000US11366,"11366",13463,1378
86000US11367,"11367",40923,2746
86000US11368,"11368",105716,4085
86000US11369,"11369",35133,2174
86000US11370,"11370",30267,2523
86000US11371,"11371",0,14
86000US11372,"11372",64756,3427
86000US11373,"11373",98403,3774
86000US11374,"11374",46989,2716
86000US11375,"11375",76839,3249
86000US11377,"11377",81690,3523
86000US11378,"11378",36392,2211
86000US11379,"11379",36773,1990
86000US11385,"11385",101704,3765
86000US11411,"11411",20540,1294
86000US11412,"11412",39828,2406
86000US11413,"11413",45965,2366
86000US11414,"11414",31308,2483
86000US11415,"11415",21154,1726
86000US11416,"11416",25919,1521
86000US11417,"11417",30578,1875
86000US11418,"11418",35481,2270
86000US11419,"11419",47441,2657
86000US11420,"11420",49415,2416
86000US11421,"11421",40612,2390
86000US11422,"11422",33757,2076
86000US11423,"11423",28534,1900
86000US11424,"11424",0,14
86000US11426,"11426",19411,2020
86000US11427,"11427",24607,2011
86000US11428,"11428",19028,1522
86000US11429,"11429",26832,1876
86000US11430,"11430",588,45
86000US11432,"11432",62892,3031
86000US11433,"11433",37884,2443
86000US11434,"11434",68263,2686
86000US11435,"11435",56826,2977
86000US11436,"11436",22527,1288
86000US11439,"11439",2170,77
86000US11451,"11451",0,14
86000US11509,"11509",1790,349
86000US11559,"11559",8878,575
86000US11580,"11580",43092,2497
86000US11581,"11581",22818,1614
86000US11691,"11691",69359,3379
86000US11692,"11692",22734,1951
86000US11693,"11693",13244,1339
86000US11694,"11694",21489,1900
86000US11697,"11697",4429,858
