geoid,name,B25002001,"B25002001, Error",B25002002,"B25002002, Error",B25002003,"B25002003, Error"
86000US10466,"10466",26146,1072,24930,1111,1216,271
86000US10467,"10467",40791,1064,38372,1074,2419,349
86000US10468,"10468",29614,1414,28453,1476,1161,297
86000US10469,"10469",25373,999,23582,1030,1791,393
86000US10470,"10470",7050,464,6698,470,352,140
86000US10471,"10471",9682,454,9331,491,351,176
86000US10472,"10472",24627,654,22224,706,2403,440
86000US10473,"10473",23492,923,22839,929,653,246
86000US10474,"10474",4082,308,3899,329,183,111
86000US10475,"10475",19627,928,18821,976,806,260
86000US10550,"10550",16161,771,14912,817,1249,276
86000US10704,"10704",12750,622,12166,658,584,198
86000US10705,"10705",15641,867,15044,899,597,209
86000US10803,"10803",4465,254,4298,237,167,110
86000US10805,"10805",8825,572,8636,573,189,123
86000US11001,"11001",9048,387,8638,410,410,156
86000US11003,"11003",12599,692,12036,716,563,247
86000US11004,"11004",5471,467,5173,419,298,155
86000US11005,"11005",2015,248,1533,256,482,182
86000US11020,"11020",1831,224,1707,230,124,90
86000US11021,"11021",8699,413,8165,450,534,205
86000US11040,"11040",14623,626,13916,648,707,236
86000US11042,"11042",0,14,0,14,0,14
86000US11096,"11096",2861,254,2644,236,217,119
86000US11101,"11101",28026,1011,21165,1125,6861,1012
86000US11102,"11102",19592,790,13937,774,5655,640
86000US11103,"11103",18999,757,16701,788,2298,333
86000US11104,"11104",13174,514,12304,551,870,240
86000US11105,"11105",17786,550,16200,511,1586,293
86000US11106,"11106",22097,787,19286,715,2811,389
86000US11109,"11109",4921,535,4032,512,889,368
86000US11201,"11201",37323,1012,34022,1073,3301,463
86000US11203,"11203",33804,840,29238,846,4566,430
86000US11204,"11204",27285,1120,24896,1175,2389,363
86000US11205,"11205",19740,708,17962,703,1778,375
86000US11206,"11206",35906,1060,34813,1067,1093,305
86000US11207,"11207",38824,973,35658,1067,3166,385
86000US11208,"11208",36994,1160,34395,1169,2599,352
86000US11209,"11209",33090,788,30410,849,2680,385
86000US11210,"11210",23115,827,20723,846,2392,347
86000US11211,"11211",29447,1158,28139,1150,1308,336
86000US11212,"11212",34932,1233,33052,1225,1880,422
86000US11213,"11213",29389,889,27360,952,2029,338
86000US11214,"11214",33043,882,30852,842,2191,344
86000US11215,"11215",32323,1266,29788,1314,2535,413
86000US11216,"11216",28995,950,27134,918,1861,337
86000US11217,"11217",21979,685,20307,735,1672,406
86000US11218,"11218",27297,1256,25661,1195,1636,340
86000US11219,"11219",28459,878,24507,766,3952,497
86000US11220,"11220",31225,988,28420,983,2805,367
86000US11221,"11221",39425,1369,36532,1309,2893,389
86000US11222,"11222",22902,682,21316,712,1586,320
86000US11223,"11223",28803,884,26478,870,2325,306
86000US11224,"11224",21819,812,20478,879,1341,353
86000US11225,"11225",26883,820,25014,857,1869,363
86000US11226,"11226",43525,1183,38130,1344,5395,591
86000US11228,"11228",16350,780,15007,781,1343,247
86000US11229,"11229",33284,931,30523,886,2761,354
86000US11230,"11230",34455,959,31947,999,2508,383
86000US11231,"11231",18294,764,16783,776,1511,302
86000US11232,"11232",10020,662,9309,656,711,173
86000US11233,"11233",34612,1005,32948,1051,1664,366
86000US11234,"11234",34719,860,29799,910,4920,485
86000US11235,"11235",36946,980,34870,959,2076,375
86000US11236,"11236",37238,813,31033,783,6205,490
86000US11237,"11237",19195,772,18228,801,967,235
86000US11238,"11238",30335,767,27919,811,2416,458
86000US11239,"11239",9437,485,8244,616,1193,319
86000US11249,"11249",19310,728,17982,761,1328,377
86000US11354,"11354",23441,1043,21846,1029,1595,354
86000US11355,"11355",32362,1190,31078,1187,1284,260
86000US11356,"11356",8923,525,8171,603,752,260
86000US11357,"11357",16643,764,15962,795,681,238
86000US11358,"11358",14028,678,13430,659,598,164
86000US11359,"11359",0,14,0,14,0,14
86000US11360,"11360",9893,626,8974,626,919,330
86000US11361,"11361",11893,576,11234,592,659,152
86000US11362,"11362",7652,497,7223,550,429,182
86000US11363,"11363",2970,253,2865,265,105,90
86000US11364,"11364",14553,647,13581,664,972,334
86000US11365,"11365",16947,959,16384,933,563,234
86000US11366,"11366",4977,505,4700,492,277,131
86000US11367,"11367",15305,604,14458,610,847,289
86000US11368,"11368",31358,970,30079,953,1279,315
86000US11369,"11369",13878,671,11066,659,2812,384
86000US11370,"11370",11718,607,9436,606,2282,379
86000US11371,"11371",0,14,0,14,0,14
86000US11372,"11372",26335,987,25399,1045,936,270
86000US11373,"11373",34996,1101,32577,1162,2419,381
86000US11374,"11374",21152,902,19625,934,1527,349
86000US11375,"11375",35673,984,34061,1097,1612,348
86000US11377,"11377",35254,1168,33612,1168,1642,444
86000US11378,"11378",14492,665,12890,632,1602,295
86000US11379,"11379",15415,609,14090,614,1325,214
86000US11385,"11385",40186,1110,37778,1104,2408,364
86000US11411,"11411",6852,375,6632,386,220,78
86000US11412,"11412",12958,490,12127,528,831,190
86000US11413,"11413",14755,600,14014,647,741,172
