geoid,name,B19013001,"B19013001, Error"
86000US11357,"11357",96988,11283
86000US11358,"11358",88165,6911
86000US11359,"11359",-666666700,
86000US11360,"11360",98875,10010
86000US11361,"11361",105932,8729
86000US11362,"11362",122090,8471
86000US11363,"11363",125015,29660
86000US11364,"11364",98359,3320
86000US11365,"11365",81258,9198
86000US11366,"11366",135373,13367
86000US11367,"11367",75061,11133
86000US11368,"11368",72270,2949
86000US11369,"11369",80297,6100
86000US11370,"11370",76009,6874
86000US11371,"11371",-666666700,
86000US11372,"11372",78606,4397
86000US11373,"11373",71480,3993
86000US11374,"11374",90631,3891
86000US11375,"11375",105904,5464
86000US11377,"11377",73073,5495
86000US11378,"11378",85830,3957
86000US11379,"11379",93558,8745
86000US11385,"11385",88838,4663
86000US11411,"11411",116458,7102
86000US11412,"11412",97979,5428
86000US11413,"11413",118440,7699
86000US11414,"11414",95051,14428
86000US11415,"11415",86394,6734
86000US11416,"11416",81188,10081
86000US11417,"11417",87006,7873
86000US11418,"11418",90156,7747
86000US11419,"11419",93399,7396
86000US11420,"11420",100006,5819
86000US11421,"11421",90685,6568
86000US11422,"11422",114697,8277
86000US11423,"11423",80054,12576
86000US11424,"11424",-666666700,
86000US11426,"11426",103533,12268
86000US11427,"11427",88980,10548
86000US11428,"11428",91296,13942
86000US11429,"11429",102880,8694
86000US11430,"11430",-666666700,
86000US11432,"11432",74096,6865
86000US11433,"11433",77519,4579
86000US11434,"11434",77598,6021
86000US11435,"11435",79710,4627
86000US11436,"11436",88047,9180
86000US11439,"11439",-666666700,
86000US11451,"11451",-666666700,
86000US11509,"11509",168537,7567
86000US11559,"11559",142830,30841
86000US11580,"11580",137402,13459
86000US11581,"11581",142233,7228
86000US11691,"11691",56135,5545
86000US11692,"11692",49720,4867
86000US11693,"11693",68449,11743
86000US11694,"11694",111011,12498
86000US11697,"11697",122667,27437
