geoid,name,B25034001,"B25034001, Error",B25034002,"B25034002, Error",B25034003,"B25034003, Error",B25034004,"B25034004, Error",B25034005,"B25034005, Error",B25034006,"B25034006, Error",B25034007,"B25034007, Error",B25034008,"B25034008, Error",B25034009,"B25034009, Error",B25034010,"B25034010, Error",B25034011,"B25034011, Error"
86000US10023,"10023",46860,1714,276,206,3850,561,2401,472,2258,385,3312,570,3411,591,6982,983,2299,460,1909,523,20162,1500
86000US10024,"10024",36791,1738,0,32,982,406,269,132,614,353,3288,1027,1612,468,862,284,1312,609,1495,487,26357,1250
86000US10025,"10025",47746,1410,260,220,889,274,1720,441,545,256,1465,401,2412,592,5395,759,3196,748,1826,442,30038,1537
86000US10026,"10026",17853,895,145,80,985,265,2834,677,554,223,1196,359,739,206,985,312,1760,406,1089,319,7566,741
86000US10027,"10027",28507,1097,549,212,1670,315,1430,322,890,301,787,250,1350,336,1688,370,4851,701,2000,414,13292,924
86000US10028,"10028",30568,1685,179,176,466,248,1041,612,732,319,2247,496,2153,539,7150,977,3972,881,1129,363,11499,1232
86000US10029,"10029",37055,1565,241,99,1987,393,2384,392,1149,458,1234,346,4101,598,7281,1301,6659,862,2319,537,9700,1060
86000US10030,"10030",14827,807,65,63,506,244,543,251,1276,391,531,254,514,185,1445,471,1137,395,615,212,8195,902
86000US10031,"10031",24305,840,101,95,503,242,431,165,292,157,537,203,1969,385,1022,277,1768,426,1440,407,16242,893
86000US10032,"10032",23292,910,0,32,1079,377,235,135,514,206,388,197,910,382,1720,490,944,296,2908,628,14594,1082
86000US10033,"10033",21607,889,90,89,116,74,471,505,232,147,205,115,503,208,1489,440,855,273,2150,437,15496,802
86000US10034,"10034",16551,619,69,105,89,63,185,98,61,50,460,190,646,277,1112,329,2000,398,2313,445,9616,615
86000US10035,"10035",17188,840,171,90,1843,449,2185,473,955,284,689,188,2254,409,1550,398,2500,385,758,337,4283,628
86000US10036,"10036",22746,1366,96,145,4312,634,4854,758,1378,418,1567,343,2577,616,1028,440,474,222,852,357,5608,655
86000US10037,"10037",10924,624,0,21,579,238,250,143,214,117,279,183,971,296,2449,491,3480,489,1547,432,1155,332
86000US10038,"10038",12256,819,131,109,1666,423,1066,377,260,151,289,147,1942,456,1757,664,1469,229,641,309,3035,552
86000US10039,"10039",14049,731,31,50,653,246,1182,435,179,123,570,288,696,225,4088,541,1397,437,958,347,4295,557
86000US10040,"10040",17131,772,0,29,205,152,127,115,253,167,198,99,394,194,1923,405,2208,428,2060,394,9763,810
86000US10044,"10044",5978,501,102,102,609,216,1009,226,284,210,892,260,2150,310,522,249,52,42,0,21,358,142
86000US10065,"10065",22448,992,0,29,242,120,597,240,506,239,1370,342,2252,497,5999,778,2733,604,1473,420,7276,888
86000US10069,"10069",3392,626,0,19,781,488,1838,428,615,187,81,83,0,19,35,46,42,47,0,19,0,19
86000US10075,"10075",15218,1191,118,184,105,130,490,480,470,329,1570,465,1773,512,2865,781,1624,645,861,340,5342,843
86000US10103,"10103",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US10110,"10110",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US10111,"10111",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US10112,"10112",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
