geoid,name,B25034001,"B25034001, Error",B25034002,"B25034002, Error",B25034003,"B25034003, Error",B25034004,"B25034004, Error",B25034005,"B25034005, Error",B25034006,"B25034006, Error",B25034007,"B25034007, Error",B25034008,"B25034008, Error",B25034009,"B25034009, Error",B25034010,"B25034010, Error",B25034011,"B25034011, Error"
86000US11379,"11379",15415,609,18,29,242,113,354,151,344,146,572,153,988,232,2309,312,3188,398,3000,362,4400,420
86000US11385,"11385",40186,1110,198,117,831,213,1113,245,1101,266,746,185,2020,321,2815,360,3301,419,4003,484,24058,985
86000US11411,"11411",6852,375,9,14,73,59,45,34,148,179,100,79,227,92,383,96,1738,249,2429,236,1700,225
86000US11412,"11412",12958,490,0,29,255,125,385,140,202,88,152,84,456,117,610,162,1820,286,2644,316,6434,387
86000US11413,"11413",14755,600,28,34,490,156,868,279,583,244,445,153,493,149,2063,334,3092,445,2693,444,4000,493
86000US11414,"11414",12154,701,39,60,232,123,283,221,367,213,584,240,1060,336,4392,709,2827,541,792,308,1578,398
86000US11415,"11415",9811,461,12,20,120,88,166,87,232,104,353,120,1037,227,1289,308,1333,304,1663,366,3606,333
86000US11416,"11416",8026,459,16,24,115,65,349,116,109,80,534,166,396,104,624,188,960,272,592,172,4331,401
86000US11417,"11417",9943,480,10,16,162,97,243,85,314,117,459,239,781,279,1046,310,1619,291,1312,241,3997,404
86000US11418,"11418",12005,637,20,33,206,149,282,147,121,75,397,118,398,129,639,193,1215,292,1944,335,6783,715
86000US11419,"11419",14053,732,0,29,158,95,605,174,298,145,476,139,663,170,744,149,1015,219,1674,456,8420,628
86000US11420,"11420",14704,581,62,48,538,193,494,174,720,259,336,118,574,230,1053,258,2202,305,1993,248,6732,613
86000US11421,"11421",12848,643,7,16,185,113,288,121,147,74,453,170,370,146,734,198,1652,289,1360,308,7652,663
86000US11422,"11422",10711,545,26,47,135,98,401,191,368,245,348,173,909,252,1876,379,2991,466,1945,398,1712,293
86000US11423,"11423",10201,661,50,56,117,88,386,129,139,87,302,147,433,133,1112,239,2588,488,1446,257,3628,444
86000US11424,"11424",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US11426,"11426",6734,418,12,21,154,82,193,142,81,55,117,75,148,91,658,231,2042,398,1474,318,1855,269
86000US11427,"11427",8540,490,16,20,69,108,207,84,89,50,342,182,264,144,756,204,3025,450,1889,345,1883,336
86000US11428,"11428",6187,513,12,16,23,28,95,64,24,29,77,49,121,71,325,150,639,184,1340,362,3531,463
86000US11429,"11429",8532,577,0,25,89,73,32,29,84,70,76,91,136,83,723,229,1351,363,2341,506,3700,403
86000US11430,"11430",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US11432,"11432",22157,1104,529,257,1529,281,1400,453,476,228,887,378,1544,328,4089,644,3067,406,2447,423,6189,531
86000US11433,"11433",12261,496,173,111,558,184,1298,288,1421,298,465,183,607,189,1000,223,1999,324,1170,255,3570,412
86000US11434,"11434",23845,794,167,138,998,214,1029,273,1590,323,1002,258,897,259,6851,750,2972,359,2402,355,5937,592
86000US11435,"11435",21405,833,157,86,2171,491,848,239,589,211,526,200,984,234,2233,466,4466,604,3360,518,6071,577
86000US11436,"11436",6843,356,0,25,181,82,418,145,255,87,310,120,275,99,1108,197,800,179,828,181,2668,286
86000US11439,"11439",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US11451,"11451",0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
86000US11509,"11509",1172,133,14,10,37,22,121,52,68,36,181,77,71,38,142,49,208,78,128,62,202,66
86000US11559,"11559",2871,437,0,19,366,196,202,156,56,45,93,76,270,154,562,207,512,191,195,113,615,204
86000US11580,"11580",13468,665,21,32,582,411,263,97,115,66,427,240,763,229,1429,352,4679,522,2746,409,2443,411
86000US11581,"11581",7363,441,0,25,177,161,201,119,63,49,0,25,408,188,1542,291,2339,350,679,179,1954,404
86000US11691,"11691",24072,924,276,131,925,304,2531,559,1196,309,1430,434,4074,549,3541,566,4225,642,1461,365,4413,677
86000US11692,"11692",8415,488,135,147,1175,267,1307,299,361,171,275,145,1368,335,1223,315,1205,310,382,177,984,266
86000US11693,"11693",5922,566,0,21,377,138,811,201,406,323,71,64,495,204,1128,259,997,275,520,217,1117,275
86000US11694,"11694",9078,391,44,38,260,140,1090,248,177,131,329,145,592,222,2108,426,1046,242,560,172,2872,351
86000US11697,"11697",2873,252,88,89,377,139,316,126,364,130,212,116,142,86,292,120,385,158,274,158,423,165
